Nr registo;Substancia Ativa;Nome do medicamento;Forma farmacêeutica;Dosagem;Unit;Tamanho da embalagem;Unidade(s);CNPEM;Preçco;Comerc.;Generico;;;;;
5039029;Donepezilo;Alizil;Comprimido revestido por película;10;mg;56;unidade(s);;18.59;Temporariamente indisponível;True;;;;;
5038914;Donepezilo;Alizil;Comprimido revestido por película;5;mg;28;unidade(s);50002376;8.44;Temporariamente indisponível;True;;;;;
5038930;Donepezilo;Alizil;Comprimido revestido por película;5;mg;56;unidade(s);50002392;13.16;Temporariamente indisponível;True;;;;;
5127949;Donepezilo;Alkimus;Comprimido revestido por película;10;mg;28;unidade(s);50002406;5.09;False comercializado;True;;;;;
5127956;Donepezilo;Alkimus;Comprimido revestido por película;10;mg;56;unidade(s);50002414;9.21;False comercializado;True;;;;;
5127907;Donepezilo;Alkimus;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.75;False comercializado;True;;;;;
5127915;Donepezilo;Alkimus;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.53;False comercializado;True;;;;;
5709787;Donepezilo;Aricept;Comprimido orodispersível;10;mg;28;unidade(s);50043684;preço livre;False comercializado;False;;;;;
5716188;Donepezilo;Aricept;Comprimido orodispersível;10;mg;56;unidade(s);50043692;preço livre;False comercializado;False;;;;;
5709688;Donepezilo;Aricept;Comprimido orodispersível;5;mg;28;unidade(s);50043650;37.69;False comercializado;False;;;;;
5709688;Donepezilo;Aricept;Comprimido orodispersível;5;mg;28;unidade(s);50043650;37.69;False comercializado;False;;;;;
5715883;Donepezilo;Aricept;Comprimido orodispersível;5;mg;56;unidade(s);50043668;preço livre;False comercializado;False;;;;;
5715883;Donepezilo;Aricept;Comprimido orodispersível;5;mg;56;unidade(s);50043668;preço livre;False comercializado;False;;;;;
2574887;Donepezilo;Aricept;Comprimido revestido por película;10;mg;28;unidade(s);50002406;45.02;False comercializado;False;;;;;
2574986;Donepezilo;Aricept;Comprimido revestido por película;10;mg;56;unidade(s);50002414;84.21;Comercializado;False;;;;;
2574788;Donepezilo;Aricept;Comprimido revestido por película;5;mg;56;unidade(s);50002392;63.15;Comercializado;False;;;;;
2574689;Donepezilo;Aricept;Comprimido revestido por película;5;mg;28;unidade(s);50002376;37.41;Comercializado;False;;;;;
4026282;Memantina;Axura;Solução oral;5;mg/0.5 ml;1;unidade(s) - 50 ml;50035975;55.55;Comercializado;False;;;;;
4026381;Memantina;Axura;Solução oral;5;mg/0.5 ml;1;unidade(s) - 100 ml;50035983;104.21;False comercializado;False;;;;;
5115431;Memantina;Axura;Comprimido revestido por película;(5;mg)+(10 mg)+(15 mg)+(20 mg);28;unidade(s);50136810;35.07;Comercializado;False;;;;;
4164786;Memantina;Axura;Comprimido revestido por película;10;mg;28;unidade(s);50032909;26.41;Comercializado;False;;;;;
4164885;Memantina;Axura;Comprimido revestido por película;10;mg;56;unidade(s);50032917;51.51;Comercializado;False;;;;;
5115456;Memantina;Axura;Comprimido revestido por película;20;mg;28;unidade(s);50051920;52.79;Comercializado;False;;;;;
5434550;Donepezilo;Donepezilo Alter Genéricos;Comprimido revestido por película;10;mg;28;unidade(s);50002406;5.61;Comercializado;True;;;;;
5434568;Donepezilo;Donepezilo Alter Genéricos;Comprimido revestido por película;10;mg;56;unidade(s);50002414;8.57;Comercializado;True;;;;;
5434519;Donepezilo;Donepezilo Alter Genéricos;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.22;Comercializado;True;;;;;
5434527;Donepezilo;Donepezilo Alter Genéricos;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.53;Comercializado;True;;;;;
5264338;Donepezilo;Donepezilo Aurobindo;Comprimido revestido por película;10;mg;28;unidade(s);50002406;4.91;Comercializado;True;;;;;
5264346;Donepezilo;Donepezilo Aurobindo;Comprimido revestido por película;10;mg;56;unidade(s);50002414;8.41;Temporariamente indisponível;True;;;;;
5264312;Donepezilo;Donepezilo Aurobindo;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.48;Comercializado;True;;;;;
5264320;Donepezilo;Donepezilo Aurobindo;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.06;Comercializado;True;;;;;
5435664;Donepezilo;Donepezilo Aurovitas;Comprimido orodispersível;10;mg;28;unidade(s);50043684;38.34;Comercializado;True;;;;;
5435672;Donepezilo;Donepezilo Aurovitas;Comprimido orodispersível;10;mg;56;unidade(s);50043692;44.94;Comercializado;True;;;;;
